year,OECD,Central & Eastern Europe (incl. Russia),Latin America,China,India,Rest of Asia (excl. Japan),North Africa,Sub-Saharan Africa
1870,0.175,0.073,0.055,0.032,0.025,0.028,0.036,0.027
1880,0.192,0.082,0.060,0.033,0.029,0.031,0.037,0.029
1890,0.220,0.097,0.071,0.042,0.034,0.037,0.040,0.031
1900,0.246,0.119,0.083,0.040,0.035,0.042,0.046,0.034
1913,0.277,0.133,0.106,0.040,0.041,0.053,0.056,0.037
1929,0.334,0.187,0.137,0.064,0.060,0.088,0.072,0.050
1938,0.366,0.266,0.156,0.081,0.070,0.113,0.080,0.062
1950,0.417,0.335,0.215,0.093,0.097,0.123,0.112,0.081
1960,0.482,0.413,0.263,0.166,0.130,0.168,0.152,0.108
1970,0.541,0.482,0.313,0.222,0.160,0.220,0.182,0.139
1980,0.593,0.490,0.374,0.257,0.185,0.261,0.233,0.173
1990,0.658,0.509,0.403,0.308,0.225,0.314,0.286,0.185
2000,0.745,0.497,0.481,0.408,0.267,0.364,0.350,0.194
2007,0.809,0.537,0.520,0.470,0.311,0.417,0.389,0.220
